accountsservice 22.08.8-2
xcb-util-wm 0.4.1-4
xdg-dbus-proxy 0.1.4-1
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+21+g1a58bc2-1
xf86-input-libinput 1.2.1-1
xf86-video-amdgpu 22.0.0-1
xf86-video-ati 1:19.1.0.r9.g5eba006e-2
xfsprogs 5.18.0-1
xkeyboard-config 2.36-2
xmlsec 1.2.34-1
xorg-bdftopcf 1.1-3
xorg-font-util 1.3.2-3
xorg-fonts-encodings 1.0.5-2
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.3-7
xorg-server-common 21.1.3-7
xorg-setxkbmap 1.3.3-1
xorg-xauth 1.1.2-1
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-3
xorg-xkbcomp 1.4.5-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xset 1.2.4-3
xorg-xwayland 22.1.2-1
xorgproto 2022.1-1
xvidcore 1.3.7-2
xz 5.2.5-3
yaml-cpp 0.7.0-2
yay-bin 11.2.0-1
zathura 0.4.9-1
zathura-djvu 0.2.9-1
zathura-pdf-mupdf 0.3.8-1
zenity 3.43.0-1
zimg 3.0.4-1
zip 3.0-10
zlib 1:1.2.12-2
zoom 5.11.1-1
zopfli 1.0.3-2
zram-generator 1.1.2-1
zsh 5.9-1
zstd 1.5.2-7
zxing-cpp 1.4.0-1
